CSDUID,CSDNAME,avg_mins_popwt
3547020,"Brudenell, Lyndoch and Raglan",47.70314260368153
3547098,"Head, Clara and Maria",39.39086021505376
3547008,Greater Madawaska,33.41872782631719
3547035,Bonnechere Valley,29.205861005262204
3547070,North Algona Wilberforce,23.291881074899944
3547037,Pikwakanagan (Golden Lake 39),19.66710606060606
3547043,Admaston/Bromley,18.914218057921634
3547030,Madawaska Valley,16.917316678793757
3547033,"Killaloe, Hagarty and Richards",16.873371900826445
3547056,Whitewater Region,15.105467731963666
3547090,Laurentian Hills,12.29895755938309
3547003,McNab/Braeside,11.95020804309464
3547046,Horton,10.650295577877843
3547075,Laurentian Valley,9.270601186037428
3547076,Petawawa,4.518918562479393
3547048,Renfrew,3.230980988284892
3547096,Deep River,2.8048089559503526
3547002,Arnprior,2.769524729960205
3547064,Pembroke,2.108942275368583
